"RefDes","Name","Value","Quantity","Supplier","SKU"
"C1, C2, C4, C5, C6, C7, C8, C9, C10, C11, C13, C14, C15, C16, C18, C19, C20, C21, C22, C24, C25, C26, C27, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38","CAP_0805","100n","33","Farnell","1414664"
"C3, C12, C17, C23, C28, C39, C40, C41, C42, C43","CAP_0805","10u","10","Farnell","9697110"
"D1","TS4148 RYG","","1","Farnell","2708389"
"J1","09 72 264 6801","","1","Farnell","1097074"
"J2","2211S-02G","VISIBLE","1","Farnell","1593411"
"J3","AMPHENOL L77HDE15SD1CH4F","DB15HDF","1","Farnell","2401182"
"J4","SPC20505","CONN_PGM","1","Farnell","2668430"
"L1, L2","11R222C","2u2","2","Farnell","2062667"
"LED1","KPT-2012SURCK","CDONE","1","Farnell","2099241"
"Q1","2N7002H6327XTSA2","","1","Farnell","2443474"
"R1, R24, R25, R28, R29, R30, R31","RES_0805","10K","7","Farnell","1469856"
"R2","RES_0805","0R","1","Farnell","9333681"
"R3, R10, R11","RES_0805","8K2","3","Farnell","9333584"
"R4, R5","RES_0805","9K1","2","Farnell","9333630"
"R6, R13, R14","RES_0805","560","3","Farnell","9333363"
"R7, R8","RES_0805","270","2","Farnell","9332936"
"R9, R15, R16","RES_0805","24K","3","Farnell","9332901"
"R12, R17, R18","RES_0805","1K1","3","Farnell","9332448"
"R19, R20, R21","RES_0805","150","3","Farnell","1469877"
"R22, R23","RES_0805","82","2","Farnell","9333614"
"R26, R27","RES_0805","100","2","Farnell","2447552"
"TP1, TP2, TP3, TP4","TESTPOINT","","4","Farnell","1702006"
"U1","74LVC125APWR","","1","Farnell","1102981"
"U2","SN74LVC08APWR","","1","Farnell","1102978"
"U3","SN74LVC32APWR","","1","Farnell","1102980"
"U4, U7","SN74LVC2G04DBVR","","2","Farnell","1287594"
"U5, U6","AS7C34098A-12JIN","","2","Farnell","1562919"
"U8","ICE40HX1K-TQ144","","1","Farnell","2362849"
"U9","S25FL208K0RMFI041","","1","Farnell","2340553"
"U10","LM3671MF-1.2","","1","Farnell","1685653"
"U11","74LVC162245ADGG","","1","Farnell","2444914"
"U12","LM3671MF-3.3","","1","Farnell","1685767"
"U13","SN74LVC16T245DGGR","","1","Farnell","1494928"
"Y1","QX733A50.00000B15M","50MHz","1","Farnell","2508776"
"","","","101","",""
