RefDes;Name;Value;Quantity;Number of Pins;In stock?
B801;BR2325/1VG;;1;3;yes
C100, C101, C102, C103;CAP100;47n;4;2;yes
C104, C105, C201, C202, C203, C204, C205, C301, C302, C303, C304, C305, C306, C401, C402, C405, C406, C407, C408, C409, C411, C412, C501, C502, C503, C504, C505, C506, C507, C508, C509, C510, C511, C512, C513, C514, C515, C516, C517, C603, C701, C702, C703, C801, C802, C906;CAP100;22n;46;2;yes
C106, C602, C904, C905;CAP100;100n;4;2;yes
C403, C404, C410, C413, C901, C902, C903;CAP100RP;1u tant 10V;7;2;yes
C601, C604, C606, C608, C609;CAP100RP;1u;5;2;yes
C605, C607;CAP100;10;2;2;yes
C907;CAP100;10n;1;2;yes
C908, C909, C910, C911;POLCAP;470u;4;2;yes
C912, C913, C916, C917, C918, C919;CAP100;470n;6;2;yes
C914, C915;POLCAP;1000u;2;2;yes
D601;LED_BICOL_COMC;;1;3;yes
D701;LED;HDD;1;2;yes
D901;LED;PWR (R);1;2;yes
D902;SR303;;1;2;yes
HS901;HEATSINK_2PAD;EA-T220-64E;1;2;yes
J301;HDR-2x4;BUS ANALYSER;1;8;ordered
J401, J402, J501, J502, J503, J504;CONN_DIN41612_AB;;6;64;no
J601, J602;HDR-1x11;;2;11;yes
J701;IDC2X20M;;1;40;ordered
J702;HDR-1x4;HDD PWR;1;4;yes
J801;HDR-1x2;RAMCLR;1;2;ordered
J901;4840-2211;12V 3A DC INPUT;1;3;yes
L901;IND;47u;1;2;yes
L902;IND;10u;1;2;yes
LS601;PIEZO TRANSDUCER;;1;2;yes
Q100, Q101, Q702;2N7000;;3;3;yes
Q701;TMOSP;STP12PF06;1;3;yes
R100, R303, R501, R502, R602;RES5SIPB;10K;5;5;yes
R101, R103;RES;22;2;2;yes
R102, R104, R105, R301, R302, R601, R603;RES;10K;7;2;yes
R106;RES9SIPB;10K;1;9;yes
R201, R202, R204, R205, R207, R701, R704;RES16DIPI;22;7;16;yes
R203, R206, R401, R702, R708;RES9SIPB;10K;5;9;yes
R604, R605, R901;RES;330;3;2;yes
R703, R705, R706, R707, R710, R711;RES;10k;6;2;yes
R709;RES;100k;1;2;yes
R712;RES;270;1;2;yes
S901;SWITCHSPDT;POWER;1;3;yes
SW100;PB;RESET;1;4;yes
U100;MC68000P;;1;64;yes
U101;MC74HC04AN;;1;14;yes
U102;AEL_XTALOSC_8P;10MHz;1;4;ordered
U103;74ABT125N;;1;14;yes
U104;SN74HC148N;;1;14;yes
U105;ADM707AN;;1;8;ordered
U201, U203, U205;74ABT541N;;3;20;yes
U202, U204;74ABT245N;;2;20;yes
U301;74HC393N;;1;14;yes
U302, U305;ATF22V10C-15PU;;2;24;yes
U303;74HC139N;;1;14;yes
U304;74HC164N;;1;14;ordered
U401;ATF16V8C;;1;20;yes
U402, U403;A29040B;;2;32;yes
U501;SN74HC21N;;1;14;yes
U601;MC68681P;;1;40;yes
U602;MAX238CNG;;1;24;ordered
U701, U702;74HC245AN;;2;20;yes
U703;74HC365N;;1;16;yes
U801;MC74HC32AN;;1;14;yes
U802;DS17485;;1;24;yes
U901;LM2678T;;1;7;yes
X601;CRYSTAL;3M6864;1;2;yes
Y801;TC26H;32.768kHz;1;2;yes
;;;177;661;
